tweet_id,retweet_count,favorite_count
787397959788929025,3156,11740
787322443945877504,1940,8431
786963064373534720,8909,28775
786709082849828864,6781,19692
786664955043049472,2864,11543
786595970293370880,3450,10175
786363235746385920,3901,11806
786286427768250368,3182,8631
786233965241827333,5317,16571
785927819176054784,3523,12286
785872687017132033,2026,7232
785639753186217984,2467,8445
785639753186217984,2467,8445
785533386513321988,2238,9858
785515384317313025,1401,6605
785264754247995392,1825,7854
785170936622350336,5409,13086
784826020293709826,3582,10954
784517518371221505,2821,9698
784431430411685888,1423,6152
784183165795655680,8974,21741
784057939640352768,12402,32342
783839966405230592,12026,32508
783821107061198850,2189,7964
783695101801398276,3579,11289
783466772167098368,2508,9131
783391753726550016,6135,18249
783334639985389568,13045,31600
783085703974514689,2468,8797
782969140009107456,8181,26061
782747134529531904,1553,8060
782722598790725632,6000,18644
782598640137187329,2090,8402
782305867769217024,6185,18007
781955203444699136,3734,11995
781661882474196992,3003,11281
781655249211752448,1244,4325
781524693396357120,6158,22391
781308096455073793,2826,7710
781308096455073793,2826,7710
781251288990355457,2332,9102
781163403222056960,3028,10538
780931614150983680,8156,23343
780858289093574656,2214,7764
780800785462489090,1443,5949
780601303617732608,3695,13033
780543529827336192,1920,6798
780459368902959104,1181,5696
780192070812196864,2479,9397
780074436359819264,5548,13216
779834332596887552,7872,20526
779377524342161408,3447,9516
779123168116150273,4038,12735
779056095788752897,5017,15960
778764940568104960,406,924
778748913645780993,1479,7440
778650543019483137,1653,6229
778624900596654080,1122,5016
778408200802557953,4828,14714
778383385161035776,1220,6294
778286810187399168,3673,11210
778039087836069888,2921,9150
778027034220126208,1800,7073
777885040357281792,1819,6854
777684233540206592,3264,12100
777621514455814149,2761,9453
777189768882946048,4800,15424
776813020089548800,1339,5254
776477788987613185,3108,9549
776218204058357768,17678,32361
776201521193218049,2789,10335
776113305656188928,4815,12665
776088319444877312,167,1977
775842724423557120,2969,12616
775733305207554048,4439,14904
775729183532220416,5057,13909
775364825476165632,3304,8005
775350846108426240,4334,10937
775085132600442880,5229,16736
774757898236878852,1960,9186
774639387460112384,1921,7229
774314403806253056,6182,23422
773985732834758656,4300,11560
773922284943896577,1915,6884
773704687002451968,1812,7102
773670353721753600,1434,5728
773547596996571136,6815,23741
773308824254029826,8249,24985
773247561583001600,3549,10125
773191612633579521,4540,10753
772877495989305348,4286,9238
772826264096874500,2567,8574
772581559778025472,1867,6962
772193107915964416,1527,6456
772152991789019136,1236,4061
772117678702071809,805,4028
772114945936949249,520,2912
772102971039580160,1018,4308
771908950375665664,2095,7065
771500966810099713,2891,8891
771380798096281600,5632,11316
771136648247640064,3226,9887
771014301343748096,1824,7387
770787852854652928,1351,5337
770772759874076672,1561,5579
770655142660169732,1918,7876
770414278348247044,2271,6765
770293558247038976,1644,6698
770069151037685760,2539,8148
769940425801170949,10639,33805
769695466921623552,1833,6871
769212283578875904,1893,5788
768970937022709760,7210,15483
768855141948723200,983,4512
768609597686943744,1335,4419
768596291618299904,1405,5390
768473857036525572,3781,14634
768193404517830656,3898,11707
767884188863397888,1546,5093
767754930266464257,5930,17206
767500508068192258,2563,8042
767191397493538821,4200,13193
767122157629476866,3144,10875
766793450729734144,1494,5456
766693177336135680,868,4328
766423258543644672,1755,6461
766313316352462849,2074,7276
766069199026450432,956,4594
766008592277377025,540,4005
765719909049503744,2373,7772
765669560888528897,1338,5570
765395769549590528,3731,28297
765371061932261376,2366,7600
765222098633691136,3713,12465
764857477905154048,1947,6889
764259802650378240,1668,6493
763837565564780549,4586,13538
763183847194451968,1622,5798
